"Nazwa firmy","Nazwa skrócona","Ulica, numer",Miasto,"Kod pocztowy","Osoby kontaktowe","Nowe województwo",Powiat,Gmina,"Stare województwo",Telefon(y),Fax(y),"Forma własności","Forma prawna",Email,WWW,Zatrudnienie,"Obrót roczny","Rok założenia","NACE (EKD)",SIC,"Opis działalności"
"Hurtownia Leków Weterynaryjnych",,"Berdychowska 67c",Wągrowiec,62-233,"Justyna Matusak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2682489,(67)2682489,prywatna,"zakład prywatny bez formy prawnej","<a title=""@wp.pl"">hlwet</a>",,3,"5,000,000 zł.",1991,"<span>51.46</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5146%20sprzedaz%20hurtowa%20wyrobow%20farmaceutycznych%20i%20ziol"">Sprzedaż hurtowa wyrobów farmaceutycznych i ziół</a>","<span>512203</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC512203%20lekarstwa%20i%20parafarmaceutyki%20hurt"">Lekarstwa i parafarmaceutyki, hurt</a>",
"Usługi Weterynaryjne",,"Berdychowska 21a/2",Wągrowiec,62-013,"Sławomir Misiek",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2622428 (502)123129",,prywatna,"zakład prywatny bez formy prawnej",,,1,,1992,"<span>85.22</span>Instytucje weterynaryjne i lekarze weterynarii poza klinikami weterynaryjnymi","<span>0742</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC0742%20uslugi%20weterynaryjne%20nierolnicze"">Usługi weterynaryjne nierolnicze</a>","badanie mięsa"
"Jasbiz Zakład Produkcyjno-Handlowy Import-Export","Jasbiz ZPH","Bobrownicka 12b/2",Wągrowiec,62-624,"inż. Helena Lyskova",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2636230,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1996,"
<span>36.61</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE3661%20produkcja%20imitacji%20bizuterii"">Produkcja imitacji biżuterii</a>
<span>51.19</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5119%20agenci%20zajmujacy%20sie%20sprzedaza%20towarow%20roznego%20rodzaju"">Agenci zajmujący się sprzedażą towarów różnego rodzaju</a>
","
<span>391101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC391101%20bizuteria%20produkcja"">Biżuteria, produkcja</a>
<span>738917</span>Pośrednictwa kupna-sprzedaży
","
biżuteria sztuczna

"
"K&amp;D Meble",,"Bracholin 23",Wągrowiec,62-234,"
Kamil Ewertowski
Dariusz Gutowski
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(693)439436 (603)731832",,prywatna,"zakład prywatny bez formy prawnej","<a title=""@wp.pl"">kdmeble</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.kdmeble.firmowo.net"">www.kdmeble.firmowo.net</a>",,,,"
<span>36.14.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE36142%20wykanczanie%20mebli%20np%20tapicerowanie"">Wykańczanie mebli, np. tapicerowanie</a>
<span>36.11.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE36114%20wykanczanie%20krzesel%20i%20siedzen%20np%20tapicerowanie"">Wykańczanie krzeseł i siedzeń, np. tapicerowanie</a>
","
<span>251299</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC251299%20meble%20drewniane%20tapicerowane%20osobno%20nie%20wymienione%20produkcja"">Meble drewniane tapicerowane, osobno nie wymienione, produkcja</a>
<span>764101</span>Warsztaty tapicerskie
","
meble tapicerowane

"
"Hurtownia Cytrus",,"Brzozowa 45",Wągrowiec,62-454,"Rafał Antkowski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2666260,(67)2666260,prywatna,"zakład prywatny bez formy prawnej",,,1,,1992,"<span>51.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5131%20sprzedaz%20hurtowa%20owocow%20i%20warzyw%20lacznie%20z%20ziemniakami%20i%20produktami%20z%20ziemniakow"">Sprzedaż hurtowa owoców i warzyw, łącznie z ziemniakami i produktami z ziemniaków</a>","<span>5148</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5148%20swieze%20warzywa%20i%20owoce%20hurt"">Świeże warzywa i owoce, hurt</a>",
"Sklep Metalowo-Techniczno-Gospodarczy Motoryzacyjny",,"Bydgoska 2",Wągrowiec,62-453,"Marceli Kamiński",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2680885,(67)2680885,prywatna,"zakład prywatny bez formy prawnej",,,1,,1975,"
<span>50.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5031%20sprzedaz%20hurtowa%20i%20detaliczna%20czesci%20i%20akcesoriow%20do%20pojazdow%20mechanicznych"">Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów mechanicznych</a>
<span>52.45</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5245%20sprzedaz%20detaliczna%20sprzetu%20gospodarstwa%20domowego%20oraz%20artykulow%20radiowo%20telewizyjnych"">Sprzedaż detaliczna sprzętu gospodarstwa domowego oraz artykułów radiowo-telewizyjnych</a>
","
<span>5731</span>Sklepy z domowym sprzętem elektronicznym
<span>5531</span>Części i wyposażenie samochodowe, handel detaliczny
","
części do urządzeń elektrycznych
części motoryzacyjne

"
"MIX Electronics S.A. - Sklep Firmowy",,"Bydgoska 2",Wągrowiec,62-013,"kier. Marek Mazur",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2685280,,prywatna,"spółka akcyjna","<a title=""@mixelecvronics.pl"">wag-467</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.mixelecvronics.pl"">www.mixelecvronics.pl</a>",5,,2001,"
<span>52.45.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52451%20sprzedaz%20detaliczna%20elektrycznych%20artykulow%20i%20sprzetu%20gospodarstwa%20domowego"">Sprzedaż detaliczna elektrycznych artykułów i sprzętu gospodarstwa domowego</a>
<span>52.45.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52452%20sprzedaz%20detaliczna%20sprzetu%20radiowo%20telewizyjnego"">Sprzedaż detaliczna sprzętu radiowo-telewizyjnego</a>
","
<span>572299</span>Zmechanizowany sprzęt gospodarstwa domowego, osobno nie wymieniony, handel detaliczny
<span>573199</span>Sklepy z domowym sprzętem elektronicznym, osobno nie wymienione
","


"
"Urząd Gminy",,"Cysterska 23",Wągrowiec,62-454,"wójt Przemysław Majchrzak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2690890,(67)2690893,komunalna,"wspólnota samorządowa","<a title=""@wokiss.pl"">wagroziec</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.waguowiec.wlkp.pl"">www.waguowiec.wlkp.pl</a>",,,,"<span>75.11.14</span>Organy gminne administracji państwowej","<span>911102</span>Organy administracji lokalnej",
"Zakład Fryzjerski",,"Daleka 10",Wągrowiec,62-342,"Aneta Babrakowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(503)048848,,prywatna,"zakład prywatny bez formy prawnej",,,1,,,<span>93.02.1</span>Fryzjerstwo,"<span>7241</span>Salony fryzjerskie","


"
"Zakład Usługowo-Handlowy Eldom","ZUH Eldom","Daleka 12",Wągrowiec,62-734,"Sławomir Przyborski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2695398,(67)2695398,prywatna,"zakład prywatny bez formy prawnej",,,4,,1989,"
<span>52.72.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52722%20naprawy%20elektrycznych%20artykulow%20gospodarstwa%20domowego"">Naprawy elektrycznych artykułów gospodarstwa domowego</a>
<span>52.45.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52451%20sprzedaz%20detaliczna%20elektrycznych%20artykulow%20i%20sprzetu%20gospodarstwa%20domowego"">Sprzedaż detaliczna elektrycznych artykułów i sprzętu gospodarstwa domowego</a>
","
<span>762903</span>Naprawy domowych urządzeń elektrycznych
<span>5722</span>Sklepy ze zmechanizowanym sprzętem gospodarstwa domowego
","
naprawa sprzętu AGD
Sprzedaż sprzętu AGD.

"
